Ride,Date/Time,Wait Time
TRON Lightcycle / Run,2023-03-20 15:15:17,89
TRON Lightcycle / Run,2023-03-20 15:18:26,89
TRON Lightcycle / Run,2023-03-20 15:20:17,90
TRON Lightcycle / Run,2023-03-20 15:23:27,90
TRON Lightcycle / Run,2023-03-20 15:25:17,91
TRON Lightcycle / Run,2023-03-20 15:28:26,92
TRON Lightcycle / Run,2023-03-20 15:30:16,93
TRON Lightcycle / Run,2023-03-20 15:33:26,93
TRON Lightcycle / Run,2023-03-20 15:35:16,94
TRON Lightcycle / Run,2023-03-20 15:38:26,94
TRON Lightcycle / Run,2023-03-20 15:40:17,95
TRON Lightcycle / Run,2023-03-20 15:43:26,95
TRON Lightcycle / Run,2023-03-20 15:45:16,97
TRON Lightcycle / Run,2023-03-20 15:48:26,97
TRON Lightcycle / Run,2023-03-20 15:50:16,98
TRON Lightcycle / Run,2023-03-20 15:53:26,98
TRON Lightcycle / Run,2023-03-20 15:55:16,98
TRON Lightcycle / Run,2023-03-20 15:58:26,98
TRON Lightcycle / Run,2023-03-20 16:00:16,99
TRON Lightcycle / Run,2023-03-20 16:03:26,99
TRON Lightcycle / Run,2023-03-20 16:05:17,100
TRON Lightcycle / Run,2023-03-20 16:08:26,101
TRON Lightcycle / Run,2023-03-20 16:10:16,102
TRON Lightcycle / Run,2023-03-20 16:14:26,103
TRON Lightcycle / Run,2023-03-20 16:15:16,103
TRON Lightcycle / Run,2023-03-20 16:18:26,104
TRON Lightcycle / Run,2023-03-20 16:20:16,104
TRON Lightcycle / Run,2023-03-20 16:23:26,106
TRON Lightcycle / Run,2023-03-20 16:25:16,106
TRON Lightcycle / Run,2023-03-20 16:28:26,107
TRON Lightcycle / Run,2023-03-20 16:30:16,107
TRON Lightcycle / Run,2023-03-20 16:33:26,109
TRON Lightcycle / Run,2023-03-20 16:35:16,110
TRON Lightcycle / Run,2023-03-20 16:38:26,110
TRON Lightcycle / Run,2023-03-20 16:40:16,111
TRON Lightcycle / Run,2023-03-20 16:43:26,112
TRON Lightcycle / Run,2023-03-20 16:45:17,113
TRON Lightcycle / Run,2023-03-20 16:48:26,113
TRON Lightcycle / Run,2023-03-20 16:50:16,114
TRON Lightcycle / Run,2023-03-20 16:53:26,116
TRON Lightcycle / Run,2023-03-20 16:55:16,117
TRON Lightcycle / Run,2023-03-20 16:58:26,118
TRON Lightcycle / Run,2023-03-20 17:00:17,120
TRON Lightcycle / Run,2023-03-20 17:03:26,120
TRON Lightcycle / Run,2023-03-20 17:05:17,120
TRON Lightcycle / Run,2023-03-20 17:08:26,120
TRON Lightcycle / Run,2023-03-20 17:10:16,120
TRON Lightcycle / Run,2023-03-20 17:14:26,120
TRON Lightcycle / Run,2023-03-20 17:15:17,120
TRON Lightcycle / Run,2023-03-20 17:18:26,120
TRON Lightcycle / Run,2023-03-20 17:20:16,120
TRON Lightcycle / Run,2023-03-20 17:23:26,120
TRON Lightcycle / Run,2023-03-20 17:25:16,120
TRON Lightcycle / Run,2023-03-20 17:28:26,120
TRON Lightcycle / Run,2023-03-20 17:30:16,120
TRON Lightcycle / Run,2023-03-20 17:33:26,120
TRON Lightcycle / Run,2023-03-20 17:35:16,120
TRON Lightcycle / Run,2023-03-20 17:38:26,120
TRON Lightcycle / Run,2023-03-20 17:40:16,120
TRON Lightcycle / Run,2023-03-20 17:43:26,120
TRON Lightcycle / Run,2023-03-20 17:45:17,120
TRON Lightcycle / Run,2023-03-20 17:48:26,120
TRON Lightcycle / Run,2023-03-20 17:50:16,120
TRON Lightcycle / Run,2023-03-20 17:53:26,120
TRON Lightcycle / Run,2023-03-20 17:55:17,120
TRON Lightcycle / Run,2023-03-20 17:58:26,120
TRON Lightcycle / Run,2023-03-21 08:48:26,16
TRON Lightcycle / Run,2023-03-21 08:50:16,16
